date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:59:45	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2027%20May%202018%2016:59:46%20GMT	https://school9.perm.ru/gate/login?redirect=%2Fgate%2Farticles%2Ftrainings%2Fenter.php	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/logine246	(from https://school9.perm.ru/gate/articles/trainings/)
21:59:46	6308/6308	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2027%20May%202018%2016:59:46%20GMT	https://school9.perm.ru/gate/tester/?redirect=%2Fgate%2Farticles%2Ftrainings%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/tester/index22bd.html	(from https://school9.perm.ru/gate/articles/trainings/)
21:59:46	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2027%20May%202018%2016:59:46%20GMT	https://school9.perm.ru/gate/login?redirect=%2Fgate%2Farticles%2Fnews%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/login6935	(from https://school9.perm.ru/gate/articles/news/)
21:59:46	390/390	---M--	200	added ('OK')	text/css	etag:%225acf3fb2-186%22	https://school9.perm.ru/gate/styles/contents.css	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/styles/contents.css	(from https://school9.perm.ru/gate/articles/FAQ/)
21:59:46	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2027%20May%202018%2016:59:47%20GMT	https://school9.perm.ru/gate/login?redirect=%2Fgate%2Farticles%2FFAQ%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/login37ff	(from https://school9.perm.ru/gate/articles/FAQ/)
21:59:46	7557/7557	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2016:59:47%20GMT	https://school9.perm.ru/gate/login/?redirect=%2Fgate%2Farticles%2Ftrainings%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/login/index22bd.html	(from https://school9.perm.ru/gate/articles/trainings/)
21:59:46	6993/6993	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2016:59:47%20GMT	https://school9.perm.ru/gate/admin/?redirect=%2Fgate%2Farticles%2Ftrainings%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/admin/index22bd.html	(from https://school9.perm.ru/gate/articles/trainings/)
21:59:46	7620/7620	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2016:59:47%20GMT	https://school9.perm.ru/gate/login/?redirect=%2Fgate%2Farticles%2Ftrainings%2Fenter.php	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/login/indexe246.html	(from https://school9.perm.ru/gate/articles/trainings/)
21:59:47	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2027%20May%202018%2016:59:47%20GMT	https://school9.perm.ru/gate/articles/FAQ/.	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/articles/FAQ/	(from https://school9.perm.ru/gate/articles/FAQ/)
21:59:47	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2027%20May%202018%2016:59:47%20GMT	https://school9.perm.ru/gate/articles/FAQ/.	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/articles/FAQ/	(from https://school9.perm.ru/gate/articles/FAQ/)
21:59:47	6288/6288	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2027%20May%202018%2016:59:47%20GMT	https://school9.perm.ru/gate/tester/?redirect=%2Fgate%2Farticles%2Fnews%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/tester/index6935.html	(from https://school9.perm.ru/gate/articles/news/)
21:59:47	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2027%20May%202018%2016:59:47%20GMT	https://school9.perm.ru/gate/articles/FAQ/.	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/articles/FAQ/	(from https://school9.perm.ru/gate/articles/FAQ/)
21:59:47	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2027%20May%202018%2016:59:48%20GMT	https://school9.perm.ru/gate/articles/FAQ/.	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/articles/FAQ/	(from https://school9.perm.ru/gate/articles/FAQ/)
21:59:47	7520/7520	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2016:59:48%20GMT	https://school9.perm.ru/gate/login/?redirect=%2Fgate%2Farticles%2Fnews%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/login/index6935.html	(from https://school9.perm.ru/gate/articles/news/)
21:59:48	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2027%20May%202018%2016:59:48%20GMT	https://school9.perm.ru/gate/login?redirect=%2Fgate%2Farticles%2Fnicety%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/login359b	(from https://school9.perm.ru/gate/articles/nicety/)
21:59:48	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2027%20May%202018%2016:59:48%20GMT	https://school9.perm.ru/gate/login?redirect=%2Fgate%2Farticles%2Frules%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/login9de5	(from https://school9.perm.ru/gate/articles/rules/)
22:00:21	6973/6973	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2016:59:48%20GMT	https://school9.perm.ru/gate/admin/?redirect=%2Fgate%2Farticles%2Fnews%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/admin/index6935.html	(from https://school9.perm.ru/gate/articles/news/)
22:00:21	5493/5493	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2016:59:48%20GMT	https://school9.perm.ru/gate/login/viewuser/?id=1&redirect=%2Fgate%2Farticles%2Fnews%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/login/viewuser/indexd0fd.html	(from https://school9.perm.ru/gate/articles/news/)
22:00:21	7515/7515	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2016:59:49%20GMT	https://school9.perm.ru/gate/login/?redirect=%2Fgate%2Farticles%2FFAQ%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/login/index37ff.html	(from https://school9.perm.ru/gate/articles/FAQ/)
